id;isHead;sHeadDate;sGHeadDate;sTotal;sTarget;isTarget;isNotOnlyTarget;cDaysBetween;isSameDay;isLater;isEarlier;cBus;cEmpl;cCust;isSameOrNever;isLaterOrNever;sGS;sG;sT;sS;isRep;isBF;cSMen;cAMen;dFirstSale;cWorkMonth;cSaleMonth;isServer;isBUCorp;is50lic;isEGG;isBuh;isZUP;isKPR;isUT;isBS;isAnyBuh;isBTOR;isService;isLicense;isPOS
894060;1;3300;3300;5790;0;0;0;0;0;0;0;2;15;1;1;1;5790;3300;0;2490;0;0;1;1;42408;3;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0
1111055;1;3300;3300;10690;0;0;0;0;0;0;0;2;1;1;1;1;3300;3300;0;0;1;0;1;1;42454;3;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613419;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;1;42464;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
1084081;1;13000;13000;13000;0;0;0;0;0;0;0;1;6;1;1;1;13000;13000;0;0;0;0;1;1;42464;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
761767;1;1650;1650;1650;0;0;0;0;0;0;0;1;0;1;1;1;1650;1650;0;0;0;0;1;0;42464;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613454;1;1650;1650;1650;0;0;0;0;0;0;0;1;2;1;1;1;1650;1650;0;0;0;0;1;1;42464;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613458;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;1;42464;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
738801;1;1650;1650;7550;0;0;0;0;0;0;0;2;1;1;1;1;1650;1650;0;0;0;0;2;1;42426;3;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613447;1;1650;1650;1650;0;0;0;0;0;0;0;1;5;1;1;1;1650;1650;0;0;0;0;1;1;42464;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613416;1;1650;1650;1650;0;0;0;0;0;0;0;1;0;1;1;1;1650;1650;0;0;0;0;1;1;42464;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
964684;1;25000;25000;34888;0;0;0;0;0;0;0;2;5;1;1;1;25000;25000;0;0;0;0;1;2;42464;6;6;0;0;0;0;1;0;0;0;0;1;0;0;0;0
